participantId,priming_condition,wave,session_id,eval_start,pre_active_m2_ann,post_active_m2_ann
980,risk-averse,wave3,16,2026-06-08,-0.0940244119429201,-0.0940244119429201
727,risk-seeking,wave3,16,2026-06-08,-0.0219446779262121,-0.0219446779262121
30,risk-seeking,wave3,16,2026-06-08,-0.0417281610319347,-0.0302406425228348
2025,risk-averse,wave3,16,2026-06-08,-0.0551893631663682,-0.053003105534803
1342,risk-averse,wave3,16,2026-06-08,-0.0301906486970441,-0.0345742700689857
83,risk-averse,wave3,16,2026-06-08,-0.02647529746658,-0.0158691999453348
1190,risk-averse,wave3,16,2026-06-08,-0.0212708994961976,-0.0216609436045834
1306,risk-averse,wave3,16,2026-06-08,-0.0557324338895873,-0.0557324338895873
1276,risk-seeking,wave3,16,2026-06-08,-0.0656778602619008,-0.0765940170762756
857,risk-averse,wave3,16,2026-06-08,-0.0582422489728981,-0.0515145140092963
2360,risk-averse,wave3,16,2026-06-08,-0.077440178043241,-0.0839422410514015
401,risk-seeking,wave3,16,2026-06-08,-0.0264667136791216,-0.0455379452812014
775,risk-seeking,wave3,16,2026-06-08,-0.05535262253519,-0.05535262253519
655,risk-seeking,wave3,16,2026-06-08,-0.0482819460019748,-0.0636347437561165
261,risk-averse,wave3,16,2026-06-08,-0.0287937969243717,-0.0310025385211708
1805,risk-averse,wave3,16,2026-06-08,-0.0807761757772632,-0.0939674208957218
1578,risk-averse,wave3,16,2026-06-08,-0.0445695635355896,-0.0445695635355896
1785,risk-averse,wave3,16,2026-06-08,-0.0558973060016497,-0.0558973060016497
751,risk-seeking,wave3,16,2026-06-08,-0.0981742478960251,-0.0574329357388485
1514,risk-seeking,wave3,16,2026-06-08,-0.0731334912828436,-0.0731334912828436
410,risk-averse,wave3,16,2026-06-08,-0.0771546004239387,-0.0891214558523703
1947,risk-seeking,wave3,16,2026-06-08,-0.0028890932061126,0.0018490952396438
1971,risk-seeking,wave3,16,2026-06-08,-0.0404052534226277,-0.0400116653335015
1640,risk-seeking,wave3,16,2026-06-08,-0.0142197631139074,-0.0142197631139074
1298,risk-averse,wave3,16,2026-06-08,-0.0793629693250211,-0.0794163116041484
675,risk-seeking,wave3,16,2026-06-08,-0.0252899294053697,-0.0252899294053697
2384,risk-seeking,wave3,16,2026-06-08,-0.0634900744638304,-0.0812811178942382
2273,risk-averse,wave3,16,2026-06-08,-0.0624089435448422,-0.0102028098862891
1289,risk-averse,wave3,16,2026-06-08,-0.0818231821630369,-0.0624758713001694
245,risk-averse,wave3,16,2026-06-08,-0.046212866783866,-0.0265227115151674
167,risk-averse,wave3,16,2026-06-08,-0.0826578544185198,-0.0826578544185198
475,risk-averse,wave3,16,2026-06-08,-0.0642307426714408,-0.0706377447170706
836,risk-seeking,wave3,16,2026-06-08,-0.0114987172114914,-0.0114987172114914
1355,risk-averse,wave3,16,2026-06-08,-0.0277755616113455,-0.0287388460127988
1633,risk-averse,wave3,16,2026-06-08,-0.0053953793730977,-0.0013536974940562
1561,risk-averse,wave3,16,2026-06-08,-0.0462935612563207,-0.0462935612563207
961,risk-averse,wave3,16,2026-06-08,-0.0505948766421734,-0.0145996412249416
1956,risk-seeking,wave3,16,2026-06-08,-0.0629824405413399,-0.0307432528913464
142,risk-seeking,wave3,16,2026-06-08,-0.0540547151850734,-0.0515449604548806
443,risk-seeking,wave3,16,2026-06-08,-0.0805338312493003,-0.0805338312493003
823,risk-averse,wave3,16,2026-06-08,-0.0521782935123211,-0.0582295960506219
1409,risk-seeking,wave3,16,2026-06-08,-0.0175490213418532,0.0007287759345586
1896,risk-averse,wave3,16,2026-06-08,-0.0161666231087693,-0.0194540477651968
1884,risk-averse,wave3,16,2026-06-08,-0.0851416457231183,-0.0851416457231183
1529,risk-averse,wave3,16,2026-06-08,-0.0483543417905914,-0.0483543417905914
1213,risk-averse,wave3,16,2026-06-08,-0.0027185729985477,-0.0027185729985477
